NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
Kepler-331 c,,0.130814,17.28111,,90,2454969.00798,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 220074 b,11.1883,1.60044,672.1,0.14,323,2451158.2,230.8,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L
Kepler-133 b,,0.0791285,8.129976,,90,2454958.97047,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-89 b,5.82159,0.0427555,3.3564227,0.193,28,,848,Hellier 2015,http://adsabs.harvard.edu/abs/2015AJ....150...18H,Hellier 2015,http://adsabs.harvard.edu/abs/2015AJ....150...18H
HAT-P-39 b,0.598375,0.0509456,3.54387,0,90,2455208.75049,63.6,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H
WASP-26 b,1.00876,0.0399686,2.7566,0,90,2455123.6379,135.5,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S
WASP-71 b,2.24554,0.0463361,2.9036747,0,90,2455738.84977,236.4,Smith 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A.120S,Smith 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A.120S
HIP 2247 b,5.12319,1.33884,655.6,0.54,112.2,2454627.1,173.3,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
GJ 876 d,0.0184193,0.0208066,1.93778,0.207,234,2450600.2,6.56,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...719..890R,Rivera 2005,http://adsabs.harvard.edu/abs/2005ApJ...634..625R
Kepler-312 c,,0.142982,19.747412,,90,2454980.1036,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
OGLE-TR-56 b,1.35447,0.0238308,1.211909,0,90,2452072.683,225,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Konacki 2003,http://adsabs.harvard.edu/abs/2003Natur.421..507K
Kepler-235 c,,0.0771364,7.824904,,90,2454969.55567,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-146 c,,0.353393,76.732171,,90,2455033.67082,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-372 d,,0.189342,30.092568,,90,2454982.03083,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-156 b,,0.0570224,4.973456,,90,2455003.88529,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 38529 b,0.803263,0.1272,14.310195,0.243663,95.3538,2454384.815,57.0213,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F
Kepler-393 c,,0.11698,14.613612,,90,2454973.4124,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-136 c,,0.126325,16.399235,,90,2454964.96851,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-436 b,,0.281824,64.00205,0,90,2454967.0428,,Torres 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...99T,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B
WASP-82 b,1.24683,0.0448251,2.705785,0,90,2456157.9898,130.7,Smith 2015,http://adsabs.harvard.edu/abs/2015AcA....65..117S,West 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.5607W
BD +20 2457 c,6.90191,1.45701,621.99,0.18,126.02,2453866.95,160.03,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N
Kepler-144 b,,0.0637947,5.885273,,90,2455007.42565,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
HD 22781 b,13.8403,1.16847,528.07,0.8191,315.92,2454881.4,726.4,Diaz 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.113D,Diaz 2011,http://adsabs.harvard.edu/abs/2011EPJWC..1102006D
Kepler-208 d,,0.09757,11.131786,,90,2454956.29541,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
